id,name,party,partyLabel,votes,election,electionLabel,ranking
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,16871,Q30173038,General election 2019,1
,Danny Donnelly,Q244927,Alliance Party of Northern Ireland,10165,Q30173038,General election 2019,2
Q24052789,Steve Aiken,Q841045,Ulster Unionist Party,5475,Q30173038,General election 2019,3
Q7087696,Oliver McMullan,Q76382,Sinn Féin,2120,Q30173038,General election 2019,4
,Aaron Rankin,Q7058484,Northern Ireland Conservatives,1043,Q30173038,General election 2019,5
,Angela Mulholland,Q175443,Social Democratic and Labour Party,902,Q30173038,General election 2019,6
,Philip Randle,Q1096979,Green Party of Northern Ireland,685,Q30173038,General election 2019,7
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,21873,Q25052149,General election 2017,1
Q7615771,Stewart Dickson,Q244927,Alliance Party of Northern Ireland,5950,Q25052149,General election 2017,2
Q28868387,John Stewart,Q841045,Ulster Unionist Party,4524,Q25052149,General election 2017,3
Q7087696,Oliver McMullan,Q76382,Sinn Féin,3555,Q25052149,General election 2017,4
,Margaret McKillop,Q175443,Social Democratic and Labour Party,1278,Q25052149,General election 2017,5
Q76448969,Mark Logan,Q7058484,Northern Ireland Conservatives,963,Q25052149,General election 2017,6
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,12103,Q3586935,General election 2015,1
Q7372562,Roy Beggs Jnr,Q841045,Ulster Unionist Party,6308,Q3586935,General election 2015,2
Q7615771,Stewart Dickson,Q244927,Alliance Party of Northern Ireland,5021,Q3586935,General election 2015,3
,Noel Jordan,Q10647,UK Independence Party,3660,Q3586935,General election 2015,4
Q7087696,Oliver McMullan,Q76382,Sinn Féin,2314,Q3586935,General election 2015,5
,Ruth Wilson,Q985076,Traditional Unionist Voice,1903,Q3586935,General election 2015,6
,Margaret McKillop,Q175443,Social Democratic and Labour Party,1639,Q3586935,General election 2015,7
,Alex Wilson,Q7058484,Northern Ireland Conservatives,549,Q3586935,General election 2015,8
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,13993,Q215622,General election 2010,1
,Rodney McCune,Q7879942,Ulster Conservatives and Unionists,7223,Q215622,General election 2010,2
,Gerry Lynch,Q244927,Alliance Party of Northern Ireland,3377,Q215622,General election 2010,3
Q7087696,Oliver McMullan,Q76382,Sinn Féin,2064,Q215622,General election 2010,4
,Justin McCamphill,Q175443,Social Democratic and Labour Party,2019,Q215622,General election 2010,5
,Sammy Morrison,Q985076,Traditional Unionist Voice,1826,Q215622,General election 2010,6
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,15766,Q428598,General election 2005,1
Q5568755,Roy Beggs,Q841045,Ulster Unionist Party,8462,Q428598,General election 2005,2
Q7459580,Seán Neeson,Q244927,Alliance Party of Northern Ireland,4869,Q428598,General election 2005,3
Q5220697,Danny O'Connor,Q175443,Social Democratic and Labour Party,1695,Q428598,General election 2005,4
,James McKeown,Q76382,Sinn Féin,828,Q428598,General election 2005,5
Q5235962,David Kerr,Q6739060,Vote For Yourself Rainbow Dream Ticket,147,Q428598,General election 2005,6
Q5568755,Roy Beggs,Q841045,Ulster Unionist Party,13101,Q590740,General election 2001,1
Q262040,Sammy Wilson,Q215519,Democratic Unionist Party,12973,Q590740,General election 2001,2
,John Mathews,Q244927,Alliance Party of Northern Ireland,4483,Q590740,General election 2001,3
